reaction_id,equation,reference
27,CHAL-CHAL-27_MA + CHAL-CHAL-27_MB -> CHAL-CHAL-27,-14.56
28,CHAL-CHAL-28_MA + CHAL-CHAL-28_MB -> CHAL-CHAL-28,-14.41
29,CHAL-CHAL-29_MA + CHAL-CHAL-29_MB -> CHAL-CHAL-29,-14.21
30,CHAL-CHAL-30_MA + CHAL-CHAL-30_MB -> CHAL-CHAL-30,-13.80
31,CHAL-CHAL-31_MA + CHAL-CHAL-31_MB -> CHAL-CHAL-31,-13.69
32,CHAL-CHAL-32_MA + CHAL-CHAL-32_MB -> CHAL-CHAL-32,-12.81
33,CHAL-CHAL-33_MA + CHAL-CHAL-33_MB -> CHAL-CHAL-33,-12.72
34,CHAL-CHAL-34_MA + CHAL-CHAL-34_MB -> CHAL-CHAL-34,-12.63
35,CHAL-CHAL-35_MA + CHAL-CHAL-35_MB -> CHAL-CHAL-35,-12.61
36,CHAL-CHAL-36_MA + CHAL-CHAL-36_MB -> CHAL-CHAL-36,-12.40
37,CHAL-CHAL-37_MA + CHAL-CHAL-37_MB -> CHAL-CHAL-37,-11.83
38,CHAL-CHAL-38_MA + CHAL-CHAL-38_MB -> CHAL-CHAL-38,-11.69
39,CHAL-CHAL-39_MA + CHAL-CHAL-39_MB -> CHAL-CHAL-39,-11.56
40,CHAL-CHAL-40_MA + CHAL-CHAL-40_MB -> CHAL-CHAL-40,-11.46
41,CHAL-CHAL-41_MA + CHAL-CHAL-41_MB -> CHAL-CHAL-41,-11.29
42,CHAL-CHAL-42_MA + CHAL-CHAL-42_MB -> CHAL-CHAL-42,-11.19
43,CHAL-CHAL-43_MA + CHAL-CHAL-43_MB -> CHAL-CHAL-43,-11.05
44,CHAL-CHAL-44_MA + CHAL-CHAL-44_MB -> CHAL-CHAL-44,-10.94
45,CHAL-CHAL-45_MA + CHAL-CHAL-45_MB -> CHAL-CHAL-45,-10.93
46,CHAL-CHAL-46_MA + CHAL-CHAL-46_MB -> CHAL-CHAL-46,-10.81
47,CHAL-CHAL-47_MA + CHAL-CHAL-47_MB -> CHAL-CHAL-47,-10.47
48,CHAL-CHAL-48_MA + CHAL-CHAL-48_MB -> CHAL-CHAL-48,-10.35
49,CHAL-CHAL-49_MA + CHAL-CHAL-49_MB -> CHAL-CHAL-49,-9.98
50,CHAL-CHAL-50_MA + CHAL-CHAL-50_MB -> CHAL-CHAL-50,-9.78
51,CHAL-CHAL-51_MA + CHAL-CHAL-51_MB -> CHAL-CHAL-51,-9.77
52,CHAL-CHAL-52_MA + CHAL-CHAL-52_MB -> CHAL-CHAL-52,-9.68
53,CHAL-CHAL-53_MA + CHAL-CHAL-53_MB -> CHAL-CHAL-53,-9.54
54,CHAL-CHAL-54_MA + CHAL-CHAL-54_MB -> CHAL-CHAL-54,-9.51
55,CHAL-CHAL-55_MA + CHAL-CHAL-55_MB -> CHAL-CHAL-55,-9.25
56,CHAL-CHAL-56_MA + CHAL-CHAL-56_MB -> CHAL-CHAL-56,-8.75
57,CHAL-CHAL-57_MA + CHAL-CHAL-57_MB -> CHAL-CHAL-57,-8.66
58,CHAL-CHAL-58_MA + CHAL-CHAL-58_MB -> CHAL-CHAL-58,-8.46
59,CHAL-CHAL-59_MA + CHAL-CHAL-59_MB -> CHAL-CHAL-59,-8.31
60,CHAL-CHAL-60_MA + CHAL-CHAL-60_MB -> CHAL-CHAL-60,-8.26
61,CHAL-CHAL-61_MA + CHAL-CHAL-61_MB -> CHAL-CHAL-61,-8.16
62,CHAL-CHAL-62_MA + CHAL-CHAL-62_MB -> CHAL-CHAL-62,-7.97
63,CHAL-CHAL-63_MA + CHAL-CHAL-63_MB -> CHAL-CHAL-63,-7.97
64,CHAL-CHAL-64_MA + CHAL-CHAL-64_MB -> CHAL-CHAL-64,-7.68
65,CHAL-CHAL-65_MA + CHAL-CHAL-65_MB -> CHAL-CHAL-65,-7.00
66,CHAL-CHAL-66_MA + CHAL-CHAL-66_MB -> CHAL-CHAL-66,-6.57
67,CHAL-CHAL-67_MA + CHAL-CHAL-67_MB -> CHAL-CHAL-67,-6.23
68,CHAL-CHAL-68_MA + CHAL-CHAL-68_MB -> CHAL-CHAL-68,-6.16
69,CHAL-CHAL-69_MA + CHAL-CHAL-69_MB -> CHAL-CHAL-69,-6.09
70,CHAL-CHAL-70_MA + CHAL-CHAL-70_MB -> CHAL-CHAL-70,-5.74
71,CHAL-CHAL-71_MA + CHAL-CHAL-71_MB -> CHAL-CHAL-71,-5.74
72,CHAL-CHAL-72_MA + CHAL-CHAL-72_MB -> CHAL-CHAL-72,-5.68
73,CHAL-CHAL-73_MA + CHAL-CHAL-73_MB -> CHAL-CHAL-73,-5.62
74,CHAL-CHAL-74_MA + CHAL-CHAL-74_MB -> CHAL-CHAL-74,-5.57
75,CHAL-CHAL-75_MA + CHAL-CHAL-75_MB -> CHAL-CHAL-75,-5.55
76,CHAL-CHAL-76_MA + CHAL-CHAL-76_MB -> CHAL-CHAL-76,-5.49
77,CHAL-CHAL-77_MA + CHAL-CHAL-77_MB -> CHAL-CHAL-77,-5.49
78,CHAL-CHAL-78_MA + CHAL-CHAL-78_MB -> CHAL-CHAL-78,-5.48
79,CHAL-CHAL-79_MA + CHAL-CHAL-79_MB -> CHAL-CHAL-79,-5.47
80,CHAL-CHAL-80_MA + CHAL-CHAL-80_MB -> CHAL-CHAL-80,-5.12
81,CHAL-CHAL-81_MA + CHAL-CHAL-81_MB -> CHAL-CHAL-81,-5.05
82,CHAL-CHAL-82_MA + CHAL-CHAL-82_MB -> CHAL-CHAL-82,-4.98
83,CHAL-CHAL-83_MA + CHAL-CHAL-83_MB -> CHAL-CHAL-83,-4.72
84,CHAL-CHAL-84_MA + CHAL-CHAL-84_MB -> CHAL-CHAL-84,-4.66
85,CHAL-CHAL-85_MA + CHAL-CHAL-85_MB -> CHAL-CHAL-85,-4.60
86,CHAL-CHAL-86_MA + CHAL-CHAL-86_MB -> CHAL-CHAL-86,-4.58
87,CHAL-CHAL-87_MA + CHAL-CHAL-87_MB -> CHAL-CHAL-87,-4.40
88,CHAL-CHAL-88_MA + CHAL-CHAL-88_MB -> CHAL-CHAL-88,-4.27
89,CHAL-CHAL-89_MA + CHAL-CHAL-89_MB -> CHAL-CHAL-89,-4.15
90,CHAL-CHAL-90_MA + CHAL-CHAL-90_MB -> CHAL-CHAL-90,-4.11
91,CHAL-CHAL-91_MA + CHAL-CHAL-91_MB -> CHAL-CHAL-91,-3.90
92,CHAL-CHAL-92_MA + CHAL-CHAL-92_MB -> CHAL-CHAL-92,-3.89
93,CHAL-CHAL-93_MA + CHAL-CHAL-93_MB -> CHAL-CHAL-93,-3.78
94,CHAL-CHAL-94_MA + CHAL-CHAL-94_MB -> CHAL-CHAL-94,-3.56
95,CHAL-CHAL-95_MA + CHAL-CHAL-95_MB -> CHAL-CHAL-95,-3.45
96,CHAL-CHAL-96_MA + CHAL-CHAL-96_MB -> CHAL-CHAL-96,-3.39
97,CHAL-CHAL-97_MA + CHAL-CHAL-97_MB -> CHAL-CHAL-97,-2.97
98,CHAL-CHAL-98_MA + CHAL-CHAL-98_MB -> CHAL-CHAL-98,-2.22
99,CHAL-CHAL-99_MA + CHAL-CHAL-99_MB -> CHAL-CHAL-99,-2.00
100,CHAL-N-1_MA + CHAL-N-1_MB -> CHAL-N-1,-33.67
101,CHAL-N-2_MA + CHAL-N-2_MB -> CHAL-N-2,-30.85
102,CHAL-N-3_MA + CHAL-N-3_MB -> CHAL-N-3,-28.30
103,CHAL-N-4_MA + CHAL-N-4_MB -> CHAL-N-4,-19.45
104,CHAL-N-5_MA + CHAL-N-5_MB -> CHAL-N-5,-19.17
105,CHAL-N-6_MA + CHAL-N-6_MB -> CHAL-N-6,-18.55
106,CHAL-N-7_MA + CHAL-N-7_MB -> CHAL-N-7,-17.95
107,CHAL-N-8_MA + CHAL-N-8_MB -> CHAL-N-8,-17.81
108,CHAL-N-9_MA + CHAL-N-9_MB -> CHAL-N-9,-17.22
109,CHAL-N-10_MA + CHAL-N-10_MB -> CHAL-N-10,-17.16
110,CHAL-N-11_MA + CHAL-N-11_MB -> CHAL-N-11,-16.63
111,CHAL-N-12_MA + CHAL-N-12_MB -> CHAL-N-12,-16.35
112,CHAL-N-13_MA + CHAL-N-13_MB -> CHAL-N-13,-16.34
113,CHAL-N-14_MA + CHAL-N-14_MB -> CHAL-N-14,-15.49
114,CHAL-N-15_MA + CHAL-N-15_MB -> CHAL-N-15,-15.24
115,CHAL-N-16_MA + CHAL-N-16_MB -> CHAL-N-16,-15.16
116,CHAL-N-17_MA + CHAL-N-17_MB -> CHAL-N-17,-13.96
117,CHAL-N-18_MA + CHAL-N-18_MB -> CHAL-N-18,-13.94
118,CHAL-N-19_MA + CHAL-N-19_MB -> CHAL-N-19,-12.03
119,CHAL-N-20_MA + CHAL-N-20_MB -> CHAL-N-20,-11.95
120,CHAL-N-21_MA + CHAL-N-21_MB -> CHAL-N-21,-11.84
121,CHAL-N-22_MA + CHAL-N-22_MB -> CHAL-N-22,-11.45
122,CHAL-N-23_MA + CHAL-N-23_MB -> CHAL-N-23,-11.31
123,CHAL-N-24_MA + CHAL-N-24_MB -> CHAL-N-24,-11.18
124,CHAL-N-25_MA + CHAL-N-25_MB -> CHAL-N-25,-11.14
125,CHAL-N-26_MA + CHAL-N-26_MB -> CHAL-N-26,-11.12
126,CHAL-N-27_MA + CHAL-N-27_MB -> CHAL-N-27,-10.79
127,CHAL-N-28_MA + CHAL-N-28_MB -> CHAL-N-28,-10.70
128,CHAL-N-29_MA + CHAL-N-29_MB -> CHAL-N-29,-10.52
129,CHAL-N-30_MA + CHAL-N-30_MB -> CHAL-N-30,-10.37
130,CHAL-N-31_MA + CHAL-N-31_MB -> CHAL-N-31,-9.54
131,CHAL-N-32_MA + CHAL-N-32_MB -> CHAL-N-32,-9.48
132,CHAL-N-33_MA + CHAL-N-33_MB -> CHAL-N-33,-9.26
133,CHAL-N-34_MA + CHAL-N-34_MB -> CHAL-N-34,-9.23
134,CHAL-N-35_MA + CHAL-N-35_MB -> CHAL-N-35,-9.15
135,CHAL-N-36_MA + CHAL-N-36_MB -> CHAL-N-36,-8.93
136,CHAL-N-37_MA + CHAL-N-37_MB -> CHAL-N-37,-8.65
137,CHAL-N-38_MA + CHAL-N-38_MB -> CHAL-N-38,-8.43
138,CHAL-N-39_MA + CHAL-N-39_MB -> CHAL-N-39,-8.38
139,CHAL-N-40_MA + CHAL-N-40_MB -> CHAL-N-40,-8.31
140,CHAL-N-41_MA + CHAL-N-41_MB -> CHAL-N-41,-8.00
141,CHAL-N-42_MA + CHAL-N-42_MB -> CHAL-N-42,-7.93
142,CHAL-N-43_MA + CHAL-N-43_MB -> CHAL-N-43,-7.81
143,CHAL-N-44_MA + CHAL-N-44_MB -> CHAL-N-44,-7.80
144,CHAL-N-45_MA + CHAL-N-45_MB -> CHAL-N-45,-7.77
145,CHAL-N-46_MA + CHAL-N-46_MB -> CHAL-N-46,-7.70
146,CHAL-N-47_MA + CHAL-N-47_MB -> CHAL-N-47,-7.63
147,CHAL-N-48_MA + CHAL-N-48_MB -> CHAL-N-48,-7.55
148,CHAL-N-49_MA + CHAL-N-49_MB -> CHAL-N-49,-7.41
149,CHAL-N-50_MA + CHAL-N-50_MB -> CHAL-N-50,-7.33
150,CHAL-N-51_MA + CHAL-N-51_MB -> CHAL-N-51,-7.31
151,CHAL-N-52_MA + CHAL-N-52_MB -> CHAL-N-52,-6.99
152,CHAL-N-53_MA + CHAL-N-53_MB -> CHAL-N-53,-6.51
153,CHAL-N-54_MA + CHAL-N-54_MB -> CHAL-N-54,-6.51
154,CHAL-N-55_MA + CHAL-N-55_MB -> CHAL-N-55,-6.42
155,CHAL-N-56_MA + CHAL-N-56_MB -> CHAL-N-56,-6.41
156,CHAL-N-57_MA + CHAL-N-57_MB -> CHAL-N-57,-6.34
157,CHAL-N-58_MA + CHAL-N-58_MB -> CHAL-N-58,-6.16
158,CHAL-N-59_MA + CHAL-N-59_MB -> CHAL-N-59,-6.15
159,CHAL-N-60_MA + CHAL-N-60_MB -> CHAL-N-60,-6.08
160,CHAL-N-61_MA + CHAL-N-61_MB -> CHAL-N-61,-6.02
161,CHAL-N-62_MA + CHAL-N-62_MB -> CHAL-N-62,-5.99
162,CHAL-N-63_MA + CHAL-N-63_MB -> CHAL-N-63,-5.71
163,CHAL-N-64_MA + CHAL-N-64_MB -> CHAL-N-64,-5.46
164,CHAL-N-65_MA + CHAL-N-65_MB -> CHAL-N-65,-5.35
165,CHAL-N-66_MA + CHAL-N-66_MB -> CHAL-N-66,-5.14
166,CHAL-N-67_MA + CHAL-N-67_MB -> CHAL-N-67,-5.13
167,CHAL-N-68_MA + CHAL-N-68_MB -> CHAL-N-68,-5.07
168,CHAL-N-69_MA + CHAL-N-69_MB -> CHAL-N-69,-5.05
169,CHAL-N-70_MA + CHAL-N-70_MB -> CHAL-N-70,-4.94
170,CHAL-N-71_MA + CHAL-N-71_MB -> CHAL-N-71,-4.93
171,CHAL-N-72_MA + CHAL-N-72_MB -> CHAL-N-72,-4.78
172,CHAL-N-73_MA + CHAL-N-73_MB -> CHAL-N-73,-4.66
173,CHAL-N-74_MA + CHAL-N-74_MB -> CHAL-N-74,-4.64
174,CHAL-N-75_MA + CHAL-N-75_MB -> CHAL-N-75,-4.50
175,CHAL-N-76_MA + CHAL-N-76_MB -> CHAL-N-76,-4.47
176,CHAL-N-77_MA + CHAL-N-77_MB -> CHAL-N-77,-4.33
177,CHAL-N-78_MA + CHAL-N-78_MB -> CHAL-N-78,-4.32
178,CHAL-N-79_MA + CHAL-N-79_MB -> CHAL-N-79,-4.29
179,CHAL-N-80_MA + CHAL-N-80_MB -> CHAL-N-80,-4.17
180,CHAL-N-81_MA + CHAL-N-81_MB -> CHAL-N-81,-4.01
181,CHAL-N-82_MA + CHAL-N-82_MB -> CHAL-N-82,-3.90
182,CHAL-N-83_MA + CHAL-N-83_MB -> CHAL-N-83,-3.87
183,CHAL-N-84_MA + CHAL-N-84_MB -> CHAL-N-84,-3.86
184,CHAL-N-85_MA + CHAL-N-85_MB -> CHAL-N-85,-3.42
185,CHAL-N-86_MA + CHAL-N-86_MB -> CHAL-N-86,-3.15
186,CHAL-N-87_MA + CHAL-N-87_MB -> CHAL-N-87,-2.54
187,CHAL-N-88_MA + CHAL-N-88_MB -> CHAL-N-88,-2.33
188,CHAL-N-89_MA + CHAL-N-89_MB -> CHAL-N-89,-2.11
189,CHAL-N-90_MA + CHAL-N-90_MB -> CHAL-N-90,-1.83
190,CHAL-N-91_MA + CHAL-N-91_MB -> CHAL-N-91,-1.57
191,CHAL-pi-1_MA + CHAL-pi-1_MB -> CHAL-pi-1,-13.83
192,CHAL-pi-2_MA + CHAL-pi-2_MB -> CHAL-pi-2,-12.78
193,CHAL-pi-3_MA + CHAL-pi-3_MB -> CHAL-pi-3,-9.71
194,CHAL-pi-4_MA + CHAL-pi-4_MB -> CHAL-pi-4,-9.27
195,CHAL-pi-5_MA + CHAL-pi-5_MB -> CHAL-pi-5,-8.89
196,CHAL-pi-6_MA + CHAL-pi-6_MB -> CHAL-pi-6,-8.58
197,CHAL-pi-7_MA + CHAL-pi-7_MB -> CHAL-pi-7,-6.91
198,CHAL-pi-8_MA + CHAL-pi-8_MB -> CHAL-pi-8,-6.35
199,CHAL-pi-9_MA + CHAL-pi-9_MB -> CHAL-pi-9,-6.31
200,CHAL-pi-10_MA + CHAL-pi-10_MB -> CHAL-pi-10,-6.30
201,CHAL-pi-11_MA + CHAL-pi-11_MB -> CHAL-pi-11,-6.20
202,CHAL-pi-12_MA + CHAL-pi-12_MB -> CHAL-pi-12,-5.30
203,CHAL-pi-13_MA + CHAL-pi-13_MB -> CHAL-pi-13,-5.26
204,CHAL-pi-14_MA + CHAL-pi-14_MB -> CHAL-pi-14,-4.97
205,CHAL-pi-15_MA + CHAL-pi-15_MB -> CHAL-pi-15,-4.84
206,CHAL-pi-16_MA + CHAL-pi-16_MB -> CHAL-pi-16,-4.55
207,CHAL-pi-17_MA + CHAL-pi-17_MB -> CHAL-pi-17,-4.49
208,CHAL-pi-18_MA + CHAL-pi-18_MB -> CHAL-pi-18,-4.09
209,CHAL-pi-19_MA + CHAL-pi-19_MB -> CHAL-pi-19,-3.85
210,CHAL-pi-20_MA + CHAL-pi-20_MB -> CHAL-pi-20,-3.27
211,CHAL-pi-21_MA + CHAL-pi-21_MB -> CHAL-pi-21,-3.25
212,CHAL-pi-22_MA + CHAL-pi-22_MB -> CHAL-pi-22,-3.07
213,CHAL-pi-23_MA + CHAL-pi-23_MB -> CHAL-pi-23,-3.00
214,CHAL-pi-24_MA + CHAL-pi-24_MB -> CHAL-pi-24,-2.66
215,CHAL-pi-25_MA + CHAL-pi-25_MB -> CHAL-pi-25,-2.63
216,CHAL-pi-26_MA + CHAL-pi-26_MB -> CHAL-pi-26,-2.29
217,CHAL-pi-27_MA + CHAL-pi-27_MB -> CHAL-pi-27,-2.19
218,CHAL-X-1_MA + CHAL-X-1_MB -> CHAL-X-1,-71.77
219,CHAL-X-2_MA + CHAL-X-2_MB -> CHAL-X-2,-56.90
220,CHAL-X-3_MA + CHAL-X-3_MB -> CHAL-X-3,-51.27
221,CHAL-X-4_MA + CHAL-X-4_MB -> CHAL-X-4,-51.06
222,CHAL-X-5_MA + CHAL-X-5_MB -> CHAL-X-5,-48.63
223,CHAL-X-6_MA + CHAL-X-6_MB -> CHAL-X-6,-47.57
224,CHAL-X-7_MA + CHAL-X-7_MB -> CHAL-X-7,-46.84
225,CHAL-X-8_MA + CHAL-X-8_MB -> CHAL-X-8,-46.82
226,CHAL-X-9_MA + CHAL-X-9_MB -> CHAL-X-9,-46.81
227,CHAL-X-10_MA + CHAL-X-10_MB -> CHAL-X-10,-45.76
228,CHAL-X-11_MA + CHAL-X-11_MB -> CHAL-X-11,-45.69
229,CHAL-X-12_MA + CHAL-X-12_MB -> CHAL-X-12,-43.85
230,CHAL-X-13_MA + CHAL-X-13_MB -> CHAL-X-13,-42.68
231,CHAL-X-14_MA + CHAL-X-14_MB -> CHAL-X-14,-42.61
232,CHAL-X-15_MA + CHAL-X-15_MB -> CHAL-X-15,-41.06
233,CHAL-X-16_MA + CHAL-X-16_MB -> CHAL-X-16,-40.48
234,CHAL-X-17_MA + CHAL-X-17_MB -> CHAL-X-17,-40.10
235,CHAL-X-18_MA + CHAL-X-18_MB -> CHAL-X-18,-40.04
236,CHAL-X-19_MA + CHAL-X-19_MB -> CHAL-X-19,-39.40
237,CHAL-X-20_MA + CHAL-X-20_MB -> CHAL-X-20,-38.20
238,CHAL-X-21_MA + CHAL-X-21_MB -> CHAL-X-21,-36.84
239,CHAL-X-22_MA + CHAL-X-22_MB -> CHAL-X-22,-35.08
240,CHAL-X-23_MA + CHAL-X-23_MB -> CHAL-X-23,-34.65
241,CHAL-X-24_MA + CHAL-X-24_MB -> CHAL-X-24,-34.33
242,CHAL-X-25_MA + CHAL-X-25_MB -> CHAL-X-25,-33.66
243,CHAL-X-26_MA + CHAL-X-26_MB -> CHAL-X-26,-33.19
244,CHAL-X-27_MA + CHAL-X-27_MB -> CHAL-X-27,-31.49
245,CHAL-X-28_MA + CHAL-X-28_MB -> CHAL-X-28,-30.35
246,CHAL-X-29_MA + CHAL-X-29_MB -> CHAL-X-29,-30.09
247,CHAL-X-30_MA + CHAL-X-30_MB -> CHAL-X-30,-29.54
248,CHAL-X-31_MA + CHAL-X-31_MB -> CHAL-X-31,-29.14
249,CHAL-X-32_MA + CHAL-X-32_MB -> CHAL-X-32,-28.52
250,CHAL-X-33_MA + CHAL-X-33_MB -> CHAL-X-33,-27.80
251,CHAL-X-34_MA + CHAL-X-34_MB -> CHAL-X-34,-27.22
252,CHAL-X-35_MA + CHAL-X-35_MB -> CHAL-X-35,-26.48
253,CHAL-X-36_MA + CHAL-X-36_MB -> CHAL-X-36,-26.43
254,CHAL-X-37_MA + CHAL-X-37_MB -> CHAL-X-37,-25.77
255,CHAL-X-38_MA + CHAL-X-38_MB -> CHAL-X-38,-25.76
256,CHAL-X-39_MA + CHAL-X-39_MB -> CHAL-X-39,-25.16
257,CHAL-X-40_MA + CHAL-X-40_MB -> CHAL-X-40,-24.50
258,CHAL-X-41_MA + CHAL-X-41_MB -> CHAL-X-41,-24.46
259,CHAL-X-42_MA + CHAL-X-42_MB -> CHAL-X-42,-24.43
260,CHAL-X-43_MA + CHAL-X-43_MB -> CHAL-X-43,-24.42
261,CHAL-X-44_MA + CHAL-X-44_MB -> CHAL-X-44,-24.11
262,CHAL-X-45_MA + CHAL-X-45_MB -> CHAL-X-45,-24.03
263,CHAL-X-46_MA + CHAL-X-46_MB -> CHAL-X-46,-23.99
264,CHAL-X-47_MA + CHAL-X-47_MB -> CHAL-X-47,-23.79
265,CHAL-X-48_MA + CHAL-X-48_MB -> CHAL-X-48,-23.70
266,CHAL-X-49_MA + CHAL-X-49_MB -> CHAL-X-49,-23.70
267,CHAL-X-50_MA + CHAL-X-50_MB -> CHAL-X-50,-23.48
268,CHAL-X-51_MA + CHAL-X-51_MB -> CHAL-X-51,-23.14
269,CHAL-X-52_MA + CHAL-X-52_MB -> CHAL-X-52,-22.32
270,CHAL-X-53_MA + CHAL-X-53_MB -> CHAL-X-53,-21.81
271,CHAL-X-54_MA + CHAL-X-54_MB -> CHAL-X-54,-21.62
272,CHAL-X-55_MA + CHAL-X-55_MB -> CHAL-X-55,-21.25
273,CHAL-X-56_MA + CHAL-X-56_MB -> CHAL-X-56,-21.21
274,CHAL-X-57_MA + CHAL-X-57_MB -> CHAL-X-57,-21.12
275,CHAL-X-58_MA + CHAL-X-58_MB -> CHAL-X-58,-21.04
276,CHAL-X-59_MA + CHAL-X-59_MB -> CHAL-X-59,-20.79
277,CHAL-X-60_MA + CHAL-X-60_MB -> CHAL-X-60,-19.55
278,CHAL-X-61_MA + CHAL-X-61_MB -> CHAL-X-61,-19.16
279,CHAL-X-62_MA + CHAL-X-62_MB -> CHAL-X-62,-19.04
280,CHAL-X-63_MA + CHAL-X-63_MB -> CHAL-X-63,-18.74
281,CHAL-X-64_MA + CHAL-X-64_MB -> CHAL-X-64,-18.67
282,CHAL-X-65_MA + CHAL-X-65_MB -> CHAL-X-65,-18.30
283,CHAL-X-66_MA + CHAL-X-66_MB -> CHAL-X-66,-17.95
284,CHAL-X-67_MA + CHAL-X-67_MB -> CHAL-X-67,-17.94
285,CHAL-X-68_MA + CHAL-X-68_MB -> CHAL-X-68,-17.61
286,CHAL-X-69_MA + CHAL-X-69_MB -> CHAL-X-69,-17.40
287,CHAL-X-70_MA + CHAL-X-70_MB -> CHAL-X-70,-17.33
288,CHAL-X-71_MA + CHAL-X-71_MB -> CHAL-X-71,-17.16
289,CHAL-X-72_MA + CHAL-X-72_MB -> CHAL-X-72,-16.71
290,CHAL-X-73_MA + CHAL-X-73_MB -> CHAL-X-73,-16.13
291,CHAL-X-74_MA + CHAL-X-74_MB -> CHAL-X-74,-15.74
292,CHAL-X-75_MA + CHAL-X-75_MB -> CHAL-X-75,-15.49
293,CHAL-X-76_MA + CHAL-X-76_MB -> CHAL-X-76,-15.15
294,CHAL-X-77_MA + CHAL-X-77_MB -> CHAL-X-77,-14.80
295,CHAL-X-78_MA + CHAL-X-78_MB -> CHAL-X-78,-14.67
296,CHAL-X-79_MA + CHAL-X-79_MB -> CHAL-X-79,-13.96
297,CHAL-X-80_MA + CHAL-X-80_MB -> CHAL-X-80,-13.90
298,CHAL-X-81_MA + CHAL-X-81_MB -> CHAL-X-81,-13.09
299,CHAL-X-82_MA + CHAL-X-82_MB -> CHAL-X-82,-13.03
300,CHAL-X-83_MA + CHAL-X-83_MB -> CHAL-X-83,-12.99
301,CHAL-X-84_MA + CHAL-X-84_MB -> CHAL-X-84,-12.80
302,CHAL-X-85_MA + CHAL-X-85_MB -> CHAL-X-85,-12.62
303,CHAL-X-86_MA + CHAL-X-86_MB -> CHAL-X-86,-12.59
304,CHAL-X-87_MA + CHAL-X-87_MB -> CHAL-X-87,-12.05
305,CHAL-X-88_MA + CHAL-X-88_MB -> CHAL-X-88,-11.48
306,CHAL-X-89_MA + CHAL-X-89_MB -> CHAL-X-89,-11.28
307,CHAL-X-90_MA + CHAL-X-90_MB -> CHAL-X-90,-11.05
308,CHAL-X-91_MA + CHAL-X-91_MB -> CHAL-X-91,-10.85
309,CHAL-X-92_MA + CHAL-X-92_MB -> CHAL-X-92,-10.60
310,CHAL-X-93_MA + CHAL-X-93_MB -> CHAL-X-93,-10.58
311,CHAL-X-94_MA + CHAL-X-94_MB -> CHAL-X-94,-10.54
312,CHAL-X-95_MA + CHAL-X-95_MB -> CHAL-X-95,-10.44
313,CHAL-X-96_MA + CHAL-X-96_MB -> CHAL-X-96,-10.06
314,CHAL-X-97_MA + CHAL-X-97_MB -> CHAL-X-97,-10.05
315,CHAL-X-98_MA + CHAL-X-98_MB -> CHAL-X-98,-9.77
316,CHAL-X-99_MA + CHAL-X-99_MB -> CHAL-X-99,-9.41
317,CHAL-X-100_MA + CHAL-X-100_MB -> CHAL-X-100,-9.39
